Symbol GSE Entrez GO
40 KDM1A GSE86874 23028 GO:0000122;GO:0000380;GO:0002052;GO:0006357;GO:0006482;GO:0007596;GO:0010569;GO:0010976;GO:0021987;GO:0032091;GO:0033169;GO:0033184;GO:0034644;GO:0034720;GO:0035563;GO:0042551;GO:0043392;GO:0043433;GO:0043518;GO:0045793;GO:0045892;GO:0045944;GO:0046098;GO:0051091;GO:0051572;GO:0051573;GO:0055001;GO:0055114;GO:0060992;GO:0071320;GO:0071480;GO:0120162;GO:1902166;GO:1903827;GO:2000179;GO:2000648
41 KDM6B GSE93395 23135 GO:0002437;GO:0006338;GO:0014823;GO:0021766;GO:0045165;GO:0045446;GO:0045944;GO:0048333;GO:0055007;GO:0055114;GO:0060992;GO:0070301;GO:0071557;GO:0120162
42 KT80 GSE125128 NA NA
43 MALAT1 GSE110525 378938 GO:0071456;GO:0110024;GO:2000147
44 MAP4K4 GSE118272 9448 GO:0000165;GO:0001953;GO:0006468;GO:0023014;GO:0030335;GO:0031098;GO:0032014;GO:0032147;GO:0035556;GO:0043066;GO:0043547;GO:0046328;GO:0048812;GO:0051549;GO:0051894;GO:0061179;GO:0070571;GO:1903393
45 miR-424 GSE54505 NA NA
46 MTHFD2 GSE81062 10797 GO:0035999;GO:0046653;GO:0046655;GO:0055114
47 MTHFD2 GSE100261 10797 GO:0035999;GO:0046653;GO:0046655;GO:0055114
48 MTR4 GSE129263 NA NA
49 MYT1 GSE128054 4661 GO:0006355;GO:0007399;GO:0030154;GO:0045944
50 NAF1 GSE66158 92345 GO:0000454;GO:0000493;GO:0032212;GO:0042254;GO:0043489;GO:0051973;GO:0090669;GO:1904358;GO:1904874;GO:1905323
51 NAP1L3 GSE106170 4675 GO:0006334
52 NRDE2 GSE119827 55051 GO:0008150;GO:0016246;GO:0031048
53 NUDT3 GSE75146 11165 GO:0007267;GO:0015961;GO:0043647;GO:0071543;GO:0071544;GO:1901907;GO:1901909;GO:1901911
54 PARP GSE91051 NA NA
55 PAX2 GSE104944 5076 GO:0001655;GO:0001658;GO:0001709;GO:0001823;GO:0001843;GO:0002072;GO:0003337;GO:0003406;GO:0006351;GO:0006366;GO:0007409;GO:0007501;GO:0007568;GO:0007601;GO:0010001;GO:0021554;GO:0021631;GO:0021633;GO:0021650;GO:0031667;GO:0035566;GO:0035799;GO:0039003;GO:0042472;GO:0043010;GO:0043066;GO:0043069;GO:0043154;GO:0043491;GO:0045892;GO:0045893;GO:0045918;GO:0045944;GO:0048793;GO:0048854;GO:0048863;GO:0050679;GO:0060231;GO:0061360;GO:0070301;GO:0071300;GO:0071333;GO:0071364;GO:0072075;GO:0072108;GO:0072162;GO:0072179;GO:0072189;GO:0072205;GO:0072207;GO:0072221;GO:0072289;GO:0072300;GO:0072305;GO:0072307;GO:0072593;GO:0090102;GO:0090103;GO:0090190;GO:1900212;GO:1900215;GO:1900218;GO:2000378;GO:2000594;GO:2000597
56 PCAT1 GSE124519 100750225 NA
57 PEG10 GSE66304 23089 GO:0006915;GO:0030154;GO:0030512
58 PORCN GSE69687 64840 GO:0006497;GO:0009100;GO:0016055;GO:0045234;GO:0060070;GO:0099072
59 PPARD GSE89729 5467 GO:0000122;GO:0006006;GO:0006029;GO:0006091;GO:0006357;GO:0006367;GO:0006629;GO:0006631;GO:0006635;GO:0006776;GO:0006915;GO:0007275;GO:0007507;GO:0007566;GO:0008203;GO:0008283;GO:0008366;GO:0008654;GO:0009062;GO:0009299;GO:0009749;GO:0009755;GO:0010887;GO:0014068;GO:0014823;GO:0014842;GO:0014912;GO:0015908;GO:0019216;GO:0030154;GO:0030308;GO:0030522;GO:0031589;GO:0032024;GO:0032966;GO:0033189;GO:0033993;GO:0042060;GO:0043066;GO:0043401;GO:0043415;GO:0043616;GO:0045600;GO:0045662;GO:0045684;GO:0045892;GO:0045893;GO:0045944;GO:0046697;GO:0048662;GO:0050680;GO:0050728;GO:0051546;GO:0060612;GO:0071222;GO:0071456;GO:0097190;GO:0097755;GO:1902894;GO:1904659;GO:2000288
60 PPARG GSE62982 5468 GO:0000122;GO:0001890;GO:0002674;GO:0006357;GO:0006367;GO:0006629;GO:0006631;GO:0006919;GO:0007165;GO:0007186;GO:0007275;GO:0007507;GO:0007584;GO:0008217;GO:0009409;GO:0009612;GO:0009755;GO:0010742;GO:0010745;GO:0010871;GO:0010887;GO:0010891;GO:0015909;GO:0016525;GO:0019216;GO:0019395;GO:0030154;GO:0030224;GO:0030308;GO:0030855;GO:0031000;GO:0031100;GO:0032526;GO:0032869;GO:0032966;GO:0033189;GO:0033993;GO:0035357;GO:0035902;GO:0042593;GO:0042594;GO:0042752;GO:0042953;GO:0043388;GO:0043401;GO:0043537;GO:0043627;GO:0045087;GO:0045165;GO:0045600;GO:0045713;GO:0045892;GO:0045893;GO:0045944;GO:0046321;GO:0048469;GO:0048511;GO:0048662;GO:0048714;GO:0050872;GO:0051091;GO:0051974;GO:0055088;GO:0060100;GO:0060336;GO:0060694;GO:0060850;GO:0060965;GO:0061614;GO:0071300;GO:0071306;GO:0071380;GO:0071404;GO:0071455;GO:1901558;GO:1904706;GO:1905461;GO:1905563;GO:2000230
61 PRDM11 GSE56235 56981 GO:0030308;GO:0032259;GO:0043408;GO:0045892;GO:0045893;GO:0051726;GO:2000271
62 PRMT5 GSE75215 10419 GO:0000387;GO:0006353;GO:0007088;GO:0018216;GO:0019918;GO:0032922;GO:0034969;GO:0035246;GO:0042118;GO:0043985;GO:0044030;GO:0045596;GO:0048714;GO:0070372;GO:0090161;GO:0097421;GO:1901796;GO:1903507;GO:1904992
